<-4.331414, -1.362787, -4.882467>, <-2.207102, -2.674787, -5.69756>, 
<-5e-06, 1.312076, -6.541094>, <2.207088, 2.674772, -5.697571>, 
<-5e-06, 1.312076, -6.541094>, <-2.207115, 2.674774, -5.697561>, 
<-5e-06, 1.312076, -6.541094>, <4e-06, -1.312087, -6.541093>, 
<4.331417, -1.362768, -4.882497>, <5.697562, -2.207096, -2.674789>, 
<4.331417, -1.362768, -4.882497>, <4.331399, 1.362763, -4.882488>, 
<4.331417, -1.362768, -4.882497>, <2.207107, -2.674783, -5.697582>, 
<2.674786, -5.697561, -2.207102>, <1.312093, -6.541092, 1.2e-05>, 
<2.674786, -5.697561, -2.207102>, <4.88248, -4.331402, -1.362773>, 
<2.674786, -5.697561, -2.207102>, <1.362779, -4.882472, -4.331411>, 
<-4.331417, 1.362759, -4.88247>, <-4.331414, -1.362787, -4.882467>, 
<-4.331417, 1.362759, -4.88247>, <-2.207115, 2.674774, -5.697561>, 
<-4.331417, 1.362759, -4.88247>, <-5.697571, 2.20709, -2.674774>, 
<2.207088, 2.674772, -5.697571>, <-5e-06, 1.312076, -6.541094>, 
<2.207088, 2.674772, -5.697571>, <4.331399, 1.362763, -4.882488>, 
<2.207088, 2.674772, -5.697571>, <1.362746, 4.88248, -4.331412>, 
<5.697562, -2.207096, -2.674789>, <4.331417, -1.362768, -4.882497>, 
<5.697562, -2.207096, -2.674789>, <4.88248, -4.331402, -1.362773>, 
<5.697562, -2.207096, -2.674789>, <6.541092, 1.3e-05, -1.312091>, 
<1.312093, -6.541092, 1.2e-05>, <2.674786, -5.697561, -2.207102>, 
<1.312093, -6.541092, 1.2e-05>, <-1.312069, -6.541095, 9e-06>, 
<1.312093, -6.541092, 1.2e-05>, <2.674794, -5.697576, 2.207113>, 
<-4.882488, -4.331427, -1.362766>, <-2.674775, -5.697567, -2.207102>, 
<-4.882488, -4.331427, -1.362766>, <-5.697581, -2.207121, -2.674775>, 
<-4.882488, -4.331427, -1.362766>, <-4.882474, -4.331411, 1.362771>, 
<1.362764, 4.882479, 4.331407>, <2.207102, 2.674787, 5.697559>, 
<1.362764, 4.882479, 4.331407>, <-1.362779, 4.882472, 4.331411>, 
<1.362764, 4.882479, 4.331407>, <2.674775, 5.697568, 2.2071>, 
<2.207102, 2.674787, 5.697559>, <1.362764, 4.882479, 4.331407>, 
<2.207102, 2.674787, 5.697559>, <-4e-06, 1.312088, 6.541093>, 
<2.207102, 2.674787, 5.697559>, <4.331414, 1.362787, 4.882467>, 
<-4e-06, 1.312088, 6.541093>, <2.207102, 2.674787, 5.697559>, 
<-4e-06, 1.312088, 6.541093>, <-2.207107, 2.674784, 5.697582>, 
<-4e-06, 1.312088, 6.541093>, <5e-06, -1.312076, 6.541094>, 
<-2.207107, 2.674784, 5.697582>, <-4e-06, 1.312088, 6.541093>, 
<-2.207107, 2.674784, 5.697582>, <-1.362779, 4.882472, 4.331411>, 
<-2.207107, 2.674784, 5.697582>, <-4.331416, 1.362769, 4.882497>, 
<-1.362779, 4.882472, 4.331411>, <1.362764, 4.882479, 4.331407>, 
<-1.362779, 4.882472, 4.331411>, <-2.207107, 2.674784, 5.697582>, 
