<-1.047568, -3.2240815, 6.1487799>, <0.35435274, -3.3714292, 6.1487799>, 
<-1.047568, -3.2240815, 6.1487799>, <-1.6949997, -2.9358263, 7.3785357>, 
<0.35435274, -3.3714292, 6.1487799>, <1.0475681, -3.2240815, 4.919024>, 
<0.35435274, -3.3714292, 6.1487799>, <-1.047568, -3.2240815, 6.1487799>, 
<0.35435274, -3.3714292, 6.1487799>, <1.0475681, -3.2240815, 7.3785357>, 
<2.7425685, -1.992591, 6.1487799>, <2.2683544, -2.5192597, 4.919024>, 
<2.7425685, -1.992591, 6.1487799>, <3.3159211, -0.70481771, 6.1487799>, 
<2.7425685, -1.992591, 6.1487799>, <2.2683544, -2.5192597, 7.3785357>, 
<3.3159211, -0.70481771, 6.1487799>, <3.3900001, 2.20920447e-06, 4.919024>, 
<3.3159211, -0.70481771, 6.1487799>, <2.7425685, -1.992591, 6.1487799>, 
<3.3159211, -0.70481771, 6.1487799>, <3.3900001, 2.20920447e-06, 7.3785357>, 
<2.7425659, 1.9925946, 6.1487799>, <3.0969176, 1.3788408, 4.919024>, 
<2.7425659, 1.9925946, 6.1487799>, <1.694996, 2.9358287, 6.1487799>, 
<2.7425659, 1.9925946, 6.1487799>, <3.0969176, 1.3788408, 7.3785357>, 
<1.694996, 2.9358287, 6.1487799>, <1.0475639, 3.2240829, 4.919024>, 
<1.694996, 2.9358287, 6.1487799>, <2.7425659, 1.9925946, 6.1487799>, 
<1.694996, 2.9358287, 6.1487799>, <1.0475639, 3.2240829, 7.3785357>, 
<-1.0475723, 3.2240801, 6.1487799>, <-0.35435385, 3.371429, 4.919024>, 
<-1.0475723, 3.2240801, 6.1487799>, <-2.2683551, 2.519259, 6.1487799>, 
<-1.0475723, 3.2240801, 6.1487799>, <-0.35435706, 3.3714287, 7.3785357>, 
<-2.2683551, 2.519259, 6.1487799>, <-2.7425678, 1.9925919, 4.919024>, 
<-2.2683551, 2.519259, 6.1487799>, <-1.0475723, 3.2240801, 6.1487799>, 
<-2.2683551, 2.519259, 6.1487799>, <-2.7425711, 1.9925874, 7.3785357>, 
<-2.7425675, -1.9925923, 7.3785357>, <-3.0969191, -1.3788376, 6.1487799>, 
<-2.7425675, -1.9925923, 7.3785357>, <-1.6949997, -2.9358263, 7.3785357>, 
<-2.7425675, -1.9925923, 7.3785357>, <-3.0969172, -1.3788418, 8.6082916>, 
<-1.6949997, -2.9358263, 7.3785357>, <-1.047568, -3.2240815, 6.1487799>, 
<-1.6949997, -2.9358263, 7.3785357>, <-2.7425675, -1.9925923, 7.3785357>, 
<-1.6949997, -2.9358263, 7.3785357>, <-1.047568, -3.2240815, 8.6082916>, 
<1.0475681, -3.2240815, 7.3785357>, <0.35435274, -3.3714292, 6.1487799>, 
<1.0475681, -3.2240815, 7.3785357>, <2.2683544, -2.5192597, 7.3785357>, 
<1.0475681, -3.2240815, 7.3785357>, <0.35435274, -3.3714292, 8.6082916>, 
<2.2683544, -2.5192597, 7.3785357>, <2.7425685, -1.992591, 6.1487799>, 
<2.2683544, -2.5192597, 7.3785357>, <1.0475681, -3.2240815, 7.3785357>, 
<2.2683544, -2.5192597, 7.3785357>, <2.7425685, -1.992591, 8.6082916>, 
<3.3900001, 2.20920447e-06, 7.3785357>, <3.3159211, -0.70481771, 6.1487799>, 
<3.3900001, 2.20920447e-06, 7.3785357>, <3.0969176, 1.3788408, 7.3785357>, 
<3.3900001, 2.20920447e-06, 7.3785357>, <3.3159211, -0.70481771, 8.6082916>, 
<3.0969176, 1.3788408, 7.3785357>, <2.7425659, 1.9925946, 6.1487799>, 
<3.0969176, 1.3788408, 7.3785357>, <3.3900001, 2.20920447e-06, 7.3785357>, 
<3.0969176, 1.3788408, 7.3785357>, <2.7425659, 1.9925946, 8.6082916>, 
<1.0475639, 3.2240829, 7.3785357>, <1.694996, 2.9358287, 6.1487799>, 
<1.0475639, 3.2240829, 7.3785357>, <-0.35435706, 3.3714287, 7.3785357>, 
<1.0475639, 3.2240829, 7.3785357>, <1.694996, 2.9358287, 8.6082916>, 
<-0.35435706, 3.3714287, 7.3785357>, <-1.0475723, 3.2240801, 6.1487799>, 
<-0.35435706, 3.3714287, 7.3785357>, <1.0475639, 3.2240829, 7.3785357>, 
<-0.35435706, 3.3714287, 7.3785357>, <-1.0475723, 3.2240801, 8.6082916>, 
<-2.7425711, 1.9925874, 7.3785357>, <-2.2683551, 2.519259, 6.1487799>, 
<-2.7425711, 1.9925874, 7.3785357>, <-3.3159213, 0.70481664, 7.3785357>, 
<-2.7425711, 1.9925874, 7.3785357>, <-2.2683575, 2.5192566, 8.6082916>, 
<-3.3159213, 0.70481664, 7.3785357>, <-3.3900001, -2.96363226e-07, 6.1487799>, 
<-3.3159213, 0.70481664, 7.3785357>, <-2.7425711, 1.9925874, 7.3785357>, 
<-3.3159213, 0.70481664, 7.3785357>, <-3.3900001, -6.54676296e-06, 8.6082916>, 
<-1.047568, -3.2240815, 8.6082916>, <-1.6949997, -2.9358263, 7.3785357>, 
<-1.047568, -3.2240815, 8.6082916>, <0.35435274, -3.3714292, 8.6082916>, 
<-1.047568, -3.2240815, 8.6082916>, <-1.694995, -2.9358292, 9.838048>, 
